asset,dataset,model,final_equity,obs,__source,auc,acc,f1,folds
BTC,eng_base,XGB,1.8625449993186471,387.0,backtest_summary.csv,,,,
BTC,eng_base,RF,1.5984837507759382,387.0,backtest_summary.csv,,,,
BTC,eng_base,LR,1.4968995273667658,387.0,backtest_summary.csv,,,,
BTC,eng_base_gru,W30,1.6292887914919578,383.0,backtest_summary.csv,,,,
BTC,eng_base_lstm,W30,1.6292887914919578,383.0,backtest_summary.csv,,,,
BTC,eng_base_mlp,W30,1.8590211503115175,383.0,backtest_summary.csv,,,,
BTC,eng_ext,XGB,3.210903475735134,387.0,backtest_summary.csv,,,,
BTC,eng_ext,RF,2.099937572565173,387.0,backtest_summary.csv,,,,
BTC,eng_ext,LR,0.979784650317182,387.0,backtest_summary.csv,,,,
BTC,eng_ext_gru,W30,1.6292887914919578,383.0,backtest_summary.csv,,,,
BTC,eng_ext_lstm,W30,1.6292887914919578,383.0,backtest_summary.csv,,,,
BTC,eng_ext_mlp,W30,1.1945950339878897,383.0,backtest_summary.csv,,,,
BTC,raw_base,RF,1.9771825894486208,387.0,backtest_summary.csv,,,,
BTC,raw_base,XGB,1.564118797298106,387.0,backtest_summary.csv,,,,
BTC,raw_base,LR,1.5498076107447345,387.0,backtest_summary.csv,,,,
BTC,raw_base_gru,W30,1.6292887914919578,383.0,backtest_summary.csv,,,,
BTC,raw_base_lstm,W30,1.6292887914919578,383.0,backtest_summary.csv,,,,
BTC,raw_base_mlp,W30,1.6292887914919578,383.0,backtest_summary.csv,,,,
BTC,raw_ext,XGB,2.34800118491699,387.0,backtest_summary.csv,,,,
BTC,raw_ext,RF,1.5455531457980003,387.0,backtest_summary.csv,,,,
BTC,raw_ext,LR,1.19179920725149,387.0,backtest_summary.csv,,,,
BTC,raw_ext_gru,W30,1.6292887914919578,383.0,backtest_summary.csv,,,,
BTC,raw_ext_lstm,W30,1.6292887914919578,383.0,backtest_summary.csv,,,,
BTC,raw_ext_mlp,W30,1.399730462085799,383.0,backtest_summary.csv,,,,
BTC,raw_base,LR,,,rolling_ml_metrics.csv,0.5194198098087401,0.4935400516795866,0.6608996539792388,1.0
BTC,raw_base,RF,,,rolling_ml_metrics.csv,0.5707073405278342,0.5581395348837209,0.3870967741935484,1.0
BTC,raw_base,XGB,,,rolling_ml_metrics.csv,0.5567635431135805,0.5322997416020672,0.2612244897959184,1.0
BTC,raw_ext,LR,,,rolling_ml_metrics.csv,0.4876856501763009,0.4935400516795866,0.3241379310344827,1.0
BTC,raw_ext,RF,,,rolling_ml_metrics.csv,0.5279009509562987,0.4909560723514212,0.658578856152513,1.0
BTC,raw_ext,XGB,,,rolling_ml_metrics.csv,0.5635751682872102,0.5581395348837209,0.5511811023622047,1.0
BTC,eng_base,LR,,,rolling_ml_metrics.csv,0.4918527620472272,0.4935400516795866,0.5196078431372549,1.0
BTC,eng_base,RF,,,rolling_ml_metrics.csv,0.546826584036756,0.5064599483204134,0.558891454965358,1.0
BTC,eng_base,XGB,,,rolling_ml_metrics.csv,0.5506197243295223,0.537467700258398,0.5623471882640587,1.0
BTC,eng_ext,LR,,,rolling_ml_metrics.csv,0.4743295223848702,0.4780361757105943,0.2681159420289855,1.0
BTC,eng_ext,RF,,,rolling_ml_metrics.csv,0.5616785981408269,0.5219638242894057,0.669051878354204,1.0
BTC,eng_ext,XGB,,,rolling_ml_metrics.csv,0.5598888770167753,0.5555555555555556,0.5168539325842697,1.0
BTC,raw_base,MLP,,,rolling_dl_metrics.csv,0.5211889828197437,0.4960835509138381,0.6631762652705061,1.0
BTC,raw_base,LSTM,,,rolling_dl_metrics.csv,0.4800381783474229,0.4960835509138381,0.6631762652705061,1.0
BTC,raw_base,GRU,,,rolling_dl_metrics.csv,0.5130351786201254,0.4960835509138381,0.6631762652705061,1.0
BTC,raw_ext,MLP,,,rolling_dl_metrics.csv,0.4948459230979002,0.4830287206266319,0.6346863468634686,1.0
BTC,raw_ext,LSTM,,,rolling_dl_metrics.csv,0.475402236160349,0.4960835509138381,0.6631762652705061,1.0
BTC,raw_ext,GRU,,,rolling_dl_metrics.csv,0.4746113989637305,0.4960835509138381,0.6631762652705061,1.0
BTC,eng_base,MLP,,,rolling_dl_metrics.csv,0.5211617125715844,0.5117493472584856,0.5117493472584856,1.0
BTC,eng_base,LSTM,,,rolling_dl_metrics.csv,0.493236978456504,0.4960835509138381,0.6631762652705061,1.0
BTC,eng_base,GRU,,,rolling_dl_metrics.csv,0.4998636487592036,0.4960835509138381,0.6631762652705061,1.0
BTC,eng_ext,MLP,,,rolling_dl_metrics.csv,0.4818107444777748,0.4960835509138381,0.5113924050632911,1.0
BTC,eng_ext,LSTM,,,rolling_dl_metrics.csv,0.5330515407690211,0.4960835509138381,0.6631762652705061,1.0
BTC,eng_ext,GRU,,,rolling_dl_metrics.csv,0.4721025361330788,0.4960835509138381,0.6631762652705061,1.0
