asset,freq,strategy,Return_Ann
BTC,D,XGB,0.8625449993186471
BTC,D,RF,0.5984837507759382
BTC,D,LR,0.4968995273667658
BTC,D,W30,0.6292887914919578
BTC,D,W30,0.6292887914919578
BTC,D,W30,0.8590211503115175
BTC,D,XGB,2.210903475735134
BTC,D,RF,1.0999375725651732
BTC,D,LR,0.979784650317182
BTC,D,W30,0.6292887914919578
BTC,D,W30,0.6292887914919578
BTC,D,W30,0.1945950339878897
BTC,D,RF,0.9771825894486208
BTC,D,XGB,0.5641187972981061
BTC,D,LR,0.5498076107447345
BTC,D,W30,0.6292887914919578
BTC,D,W30,0.6292887914919578
BTC,D,W30,0.6292887914919578
BTC,D,XGB,1.3480011849169902
BTC,D,RF,0.5455531457980003
BTC,D,LR,0.19179920725149002
BTC,D,W30,0.6292887914919578
BTC,D,W30,0.6292887914919578
BTC,D,W30,0.3997304620857991
