asset,freq,strategy,Return_Ann
BTC,W,LR,0.6466933013342178
BTC,W,RF,0.6466933013342178
BTC,W,XGB,1.099817015144432
BTC,W,W30,0.8201337265663815
BTC,W,W30,0.8201337265663815
BTC,W,W30,0.8201337265663815
BTC,W,RF,0.6466933013342178
BTC,W,XGB,0.2799245572468725
BTC,W,LR,1.066098844015409
BTC,W,W30,0.8201337265663815
BTC,W,W30,0.8201337265663815
BTC,W,W30,0.8201337265663815
BTC,W,LR,0.6466933013342178
BTC,W,RF,0.6466933013342178
BTC,W,XGB,0.1084685018635474
BTC,W,W30,0.8201337265663815
BTC,W,W30,0.8201337265663815
BTC,W,W30,0.8201337265663815
BTC,W,RF,0.6466933013342178
BTC,W,XGB,0.3567074515123805
BTC,W,LR,0.9147435311387838
BTC,W,W30,0.8201337265663815
BTC,W,W30,0.8201337265663815
BTC,W,W30,0.8201337265663815
