type,asset,freq,strategy,model,window,source,Return_Ann,Sharpe,MaxDD,Trades,WinRate
keyword,BTC,W,SMA,GRU,10,,0.6731251874261288,1.1917531158094385,-0.5503932155031526,37,0.5811688311688312
keyword,BTC,W,SMA,GRU,20,,0.7107700478189353,1.2133720209009378,-0.6175399678223632,17,0.574468085106383
keyword,BTC,W,EMA,GRU,10,,0.7120576370167703,1.2450891424701602,-0.6076547382725035,37,0.5833333333333334
keyword,BTC,W,EMA,GRU,20,,0.7097410437693306,1.2140339787802892,-0.639463860841465,21,0.5780346820809249
keyword,BTC,W,SMA,LR,10,,0.6347909786903905,1.1384118851090532,-0.5503932155031526,37,0.5797101449275363
keyword,BTC,W,SMA,LR,20,,0.676367421064619,1.1730789285173193,-0.6175399678223632,17,0.576271186440678
keyword,BTC,W,EMA,LR,10,,0.6648695545843746,1.1786953792052761,-0.6076547382725035,38,0.5827586206896552
keyword,BTC,W,EMA,LR,20,,0.6747323564694562,1.1726356138545602,-0.639463860841465,22,0.5787781350482315
keyword,BTC,W,SMA,LSTM,10,,0.6731251874261288,1.1917531158094385,-0.5503932155031526,37,0.5811688311688312
keyword,BTC,W,SMA,LSTM,20,,0.7107700478189353,1.2133720209009378,-0.6175399678223632,17,0.574468085106383
keyword,BTC,W,EMA,LSTM,10,,0.7120576370167703,1.2450891424701602,-0.6076547382725035,37,0.5833333333333334
keyword,BTC,W,EMA,LSTM,20,,0.7097410437693306,1.2140339787802892,-0.639463860841465,21,0.5780346820809249
keyword,BTC,W,SMA,MLP,10,,0.6731251874261288,1.1917531158094385,-0.5503932155031526,37,0.5811688311688312
keyword,BTC,W,SMA,MLP,20,,0.7107700478189353,1.2133720209009378,-0.6175399678223632,17,0.574468085106383
keyword,BTC,W,EMA,MLP,10,,0.7120576370167703,1.2450891424701602,-0.6076547382725035,37,0.5833333333333334
keyword,BTC,W,EMA,MLP,20,,0.7097410437693306,1.2140339787802892,-0.639463860841465,21,0.5780346820809249
keyword,BTC,W,SMA,RF,10,,0.6731251874261288,1.1917531158094385,-0.5503932155031526,37,0.5811688311688312
keyword,BTC,W,SMA,RF,20,,0.7107700478189353,1.2133720209009378,-0.6175399678223632,17,0.574468085106383
keyword,BTC,W,EMA,RF,10,,0.7120576370167703,1.2450891424701602,-0.6076547382725035,37,0.5833333333333334
keyword,BTC,W,EMA,RF,20,,0.7097410437693306,1.2140339787802892,-0.639463860841465,21,0.5780346820809249
keyword,BTC,W,SMA,XGB,10,,0.6735493827691832,1.1969125606075866,-0.5503932155031526,44,0.5796610169491525
keyword,BTC,W,SMA,XGB,20,,0.6994746681768196,1.1995649189664055,-0.6175399678223632,25,0.5714285714285714
keyword,BTC,W,EMA,XGB,10,,0.7022146308168034,1.2337866674683338,-0.6076547382725035,45,0.5806451612903226
keyword,BTC,W,EMA,XGB,20,,0.6978396035816565,1.1991503382789723,-0.639463860841465,30,0.5740181268882175
