Date,signal,position,Close,strategy
2015-09-08,0,0,243.60699462890625,BASE_SMA
2015-09-09,0,0,238.16799926757807,BASE_SMA
2015-09-10,0,0,238.4770050048828,BASE_SMA
2015-09-11,0,0,240.10699462890625,BASE_SMA
2015-09-14,0,0,230.6439971923828,BASE_SMA
2015-09-15,0,0,230.3040008544922,BASE_SMA
2015-09-16,0,0,229.09100341796875,BASE_SMA
2015-09-17,0,0,229.80999755859372,BASE_SMA
2015-09-18,0,0,232.9750061035156,BASE_SMA
2015-09-21,0,0,227.0850067138672,BASE_SMA
2015-09-22,0,0,230.6179962158203,BASE_SMA
2015-09-23,0,0,230.2830047607422,BASE_SMA
2015-09-24,0,0,234.5290069580078,BASE_SMA
2015-09-25,0,0,235.1439971923828,BASE_SMA
2015-09-28,0,0,239.1419982910156,BASE_SMA
2015-09-29,0,0,236.6869964599609,BASE_SMA
2015-09-30,0,0,236.05999755859372,BASE_SMA
2015-10-01,0,0,237.5489959716797,BASE_SMA
2015-10-02,0,0,237.29299926757807,BASE_SMA
2015-10-05,0,0,240.38299560546875,BASE_SMA
2015-10-06,0,0,246.06300354003903,BASE_SMA
2015-10-07,0,0,242.968994140625,BASE_SMA
2015-10-08,0,0,242.3040008544922,BASE_SMA
2015-10-09,0,0,243.93099975585935,BASE_SMA
2015-10-12,0,0,245.30799865722656,BASE_SMA
2015-10-13,0,0,249.50799560546875,BASE_SMA
2015-10-14,0,0,251.98899841308597,BASE_SMA
2015-10-15,0,0,254.32000732421875,BASE_SMA
2015-10-16,0,0,262.8689880371094,BASE_SMA
2015-10-19,0,0,263.43701171875,BASE_SMA
2015-10-20,0,0,269.4630126953125,BASE_SMA
2015-10-21,0,0,266.2720031738281,BASE_SMA
2015-10-22,0,0,274.02301025390625,BASE_SMA
2015-10-23,0,0,276.4960021972656,BASE_SMA
2015-10-26,0,0,285.29998779296875,BASE_SMA
2015-10-27,0,0,293.7879943847656,BASE_SMA
2015-10-28,0,0,304.6180114746094,BASE_SMA
2015-10-29,0,0,313.8550109863281,BASE_SMA
2015-10-30,0,0,328.0150146484375,BASE_SMA
2015-11-02,0,0,361.1889953613281,BASE_SMA
2015-11-03,0,0,403.4169921875,BASE_SMA
2015-11-04,0,0,411.56298828125,BASE_SMA
2015-11-05,0,0,386.35400390625,BASE_SMA
2015-11-06,0,0,374.4700012207031,BASE_SMA
2015-11-09,0,0,380.2569885253906,BASE_SMA
2015-11-10,0,0,336.8190002441406,BASE_SMA
