auc,acc,f1,asset,dataset,model,folds,__source,final_equity,obs
0.3996554694229113,0.6142857142857143,0.7610619469026548,Gold,raw_base,MLP,1.0,rolling_dl_metrics.csv,,
0.4694229112833764,0.6142857142857143,0.7610619469026548,Gold,raw_base,LSTM,1.0,rolling_dl_metrics.csv,,
0.4366925064599483,0.5428571428571428,0.6363636363636364,Gold,raw_base,GRU,1.0,rolling_dl_metrics.csv,,
0.4625322997416021,0.5571428571428572,0.6990291262135923,Gold,raw_ext,MLP,1.0,rolling_dl_metrics.csv,,
0.4306632213608957,0.6142857142857143,0.7610619469026548,Gold,raw_ext,LSTM,1.0,rolling_dl_metrics.csv,,
0.5185185185185186,0.6142857142857143,0.7610619469026548,Gold,raw_ext,GRU,1.0,rolling_dl_metrics.csv,,
0.4160206718346253,0.6142857142857143,0.7610619469026548,Gold,eng_base,MLP,1.0,rolling_dl_metrics.csv,,
0.3738156761412575,0.6142857142857143,0.7610619469026548,Gold,eng_base,LSTM,1.0,rolling_dl_metrics.csv,,
0.4737295434969853,0.6142857142857143,0.7610619469026548,Gold,eng_base,GRU,1.0,rolling_dl_metrics.csv,,
0.5219638242894057,0.6142857142857143,0.7610619469026548,Gold,eng_ext,MLP,1.0,rolling_dl_metrics.csv,,
0.6098191214470284,0.6142857142857143,0.7610619469026548,Gold,eng_ext,LSTM,1.0,rolling_dl_metrics.csv,,
0.5546942291128338,0.6142857142857143,0.7610619469026548,Gold,eng_ext,GRU,1.0,rolling_dl_metrics.csv,,
0.5770114942528736,0.6081081081081081,0.7563025210084033,Gold,raw_base,LR,1.0,rolling_ml_metrics.csv,,
0.4570881226053639,0.6081081081081081,0.7563025210084033,Gold,raw_base,RF,1.0,rolling_ml_metrics.csv,,
0.4452107279693487,0.6081081081081081,0.7563025210084033,Gold,raw_base,XGB,1.0,rolling_ml_metrics.csv,,
0.5977011494252873,0.6081081081081081,0.7563025210084033,Gold,raw_ext,LR,1.0,rolling_ml_metrics.csv,,
0.5245210727969348,0.6081081081081081,0.7563025210084033,Gold,raw_ext,RF,1.0,rolling_ml_metrics.csv,,
0.4950191570881226,0.6081081081081081,0.7563025210084033,Gold,raw_ext,XGB,1.0,rolling_ml_metrics.csv,,
0.371647509578544,0.6081081081081081,0.7563025210084033,Gold,eng_base,LR,1.0,rolling_ml_metrics.csv,,
0.4812260536398467,0.6081081081081081,0.7563025210084033,Gold,eng_base,RF,1.0,rolling_ml_metrics.csv,,
0.4996168582375479,0.6081081081081081,0.7563025210084033,Gold,eng_base,XGB,1.0,rolling_ml_metrics.csv,,
0.6367816091954024,0.6081081081081081,0.7563025210084033,Gold,eng_ext,LR,1.0,rolling_ml_metrics.csv,,
0.5206896551724138,0.6081081081081081,0.7563025210084033,Gold,eng_ext,RF,1.0,rolling_ml_metrics.csv,,
0.4628352490421455,0.6081081081081081,0.7563025210084033,Gold,eng_ext,XGB,1.0,rolling_ml_metrics.csv,,
,,,Gold,eng_base,LR,,backtest_summary.csv,1.5505051033598092,74.0
,,,Gold,eng_base,RF,,backtest_summary.csv,1.5505051033598092,74.0
,,,Gold,eng_base,XGB,,backtest_summary.csv,1.5505051033598092,74.0
,,,Gold,eng_base_gru,W30,,backtest_summary.csv,1.543234897763215,70.0
,,,Gold,eng_base_lstm,W30,,backtest_summary.csv,1.543234897763215,70.0
,,,Gold,eng_base_mlp,W30,,backtest_summary.csv,1.543234897763215,70.0
,,,Gold,eng_ext,LR,,backtest_summary.csv,1.5505051033598092,74.0
,,,Gold,eng_ext,RF,,backtest_summary.csv,1.5505051033598092,74.0
,,,Gold,eng_ext,XGB,,backtest_summary.csv,1.5505051033598092,74.0
,,,Gold,eng_ext_gru,W30,,backtest_summary.csv,1.543234897763215,70.0
,,,Gold,eng_ext_lstm,W30,,backtest_summary.csv,1.543234897763215,70.0
,,,Gold,eng_ext_mlp,W30,,backtest_summary.csv,1.543234897763215,70.0
,,,Gold,raw_base,LR,,backtest_summary.csv,1.5505051033598092,74.0
,,,Gold,raw_base,RF,,backtest_summary.csv,1.5505051033598092,74.0
,,,Gold,raw_base,XGB,,backtest_summary.csv,1.5505051033598092,74.0
,,,Gold,raw_base_gru,W30,,backtest_summary.csv,1.3411544976551963,70.0
,,,Gold,raw_base_lstm,W30,,backtest_summary.csv,1.543234897763215,70.0
,,,Gold,raw_base_mlp,W30,,backtest_summary.csv,1.543234897763215,70.0
,,,Gold,raw_ext,LR,,backtest_summary.csv,1.5505051033598092,74.0
,,,Gold,raw_ext,RF,,backtest_summary.csv,1.5505051033598092,74.0
,,,Gold,raw_ext,XGB,,backtest_summary.csv,1.5505051033598092,74.0
,,,Gold,raw_ext_gru,W30,,backtest_summary.csv,1.543234897763215,70.0
,,,Gold,raw_ext_lstm,W30,,backtest_summary.csv,1.543234897763215,70.0
,,,Gold,raw_ext_mlp,W30,,backtest_summary.csv,1.449127878214797,70.0
