asset,freq,strategy,Return_Ann
GOLD,D,XGB,0.06936972256203111
GOLD,D,LR,0.0
GOLD,D,RF,0.0
GOLD,D,W30,-0.08241830591947641
GOLD,D,W30,-0.09527543884404277
GOLD,D,W30,0.3107425849784595
GOLD,D,LR,0.046603701749422966
GOLD,D,RF,0.005809522978257098
GOLD,D,XGB,0.0
GOLD,D,W30,0.22520027888097927
GOLD,D,W30,0.2948216374111794
GOLD,D,W30,0.4895495840062505
GOLD,D,LR,0.0
GOLD,D,RF,0.0
GOLD,D,XGB,-0.001114615719482015
GOLD,D,W30,0.0
GOLD,D,W30,0.6653229352556989
GOLD,D,W30,0.026936068652528844
GOLD,D,XGB,0.12181898716127404
GOLD,D,RF,0.0
GOLD,D,LR,-0.0004964291713289715
GOLD,D,W30,0.16785353186593577
GOLD,D,W30,0.5183813233557371
GOLD,D,W30,0.12196570315745969
