asset,freq,strategy,Return_Ann
GOLD,W,LR,0.5505051033598092
GOLD,W,RF,0.5505051033598092
GOLD,W,XGB,0.5505051033598092
GOLD,W,W30,0.5432348977632151
GOLD,W,W30,0.5432348977632151
GOLD,W,W30,0.5432348977632151
GOLD,W,LR,0.5505051033598092
GOLD,W,RF,0.5505051033598092
GOLD,W,XGB,0.5505051033598092
GOLD,W,W30,0.5432348977632151
GOLD,W,W30,0.5432348977632151
GOLD,W,W30,0.5432348977632151
GOLD,W,LR,0.5505051033598092
GOLD,W,RF,0.5505051033598092
GOLD,W,XGB,0.5505051033598092
GOLD,W,W30,0.34115449765519634
GOLD,W,W30,0.5432348977632151
GOLD,W,W30,0.5432348977632151
GOLD,W,LR,0.5505051033598092
GOLD,W,RF,0.5505051033598092
GOLD,W,XGB,0.5505051033598092
GOLD,W,W30,0.5432348977632151
GOLD,W,W30,0.5432348977632151
GOLD,W,W30,0.44912787821479694
