type,asset,freq,strategy,model,Return_Ann,Sharpe,MaxDD,WinRate,N_Trades
keyword,GOLD,D,KW_XGB_EXT_D,XGB,0.01048930324397368,0.5000248317825646,-0.033364506563351104,0.011498658489842852,57
keyword,GOLD,D,KW_MLP_w30_BASE_D,MLP,0.0025705957480273156,0.31787991526479137,-0.014536159143019312,0.0022997316979685703,9
keyword,GOLD,D,KW_LSTM_w30_EXT_D,LSTM,0.0034752645579991803,0.2999601623574606,-0.019560799983367905,0.0022997316979685703,11
keyword,GOLD,D,KW_GRU_w30_EXT_D,GRU,0.002453597309172162,0.19200420250182387,-0.02334472193361181,0.004982752012265236,24
keyword,GOLD,D,KW_MLP_w30_EXT_D,MLP,0.004168892726517104,0.1740055208418746,-0.04641877413563478,0.010732081257186662,46
keyword,GOLD,D,KW_XGB_BASE_D,XGB,0.0008772928475069275,0.1736228714412638,-0.008478267877164103,0.0007665772326561902,5
keyword,GOLD,D,KW_LR_EXT_D,LR,0.00044949769678237494,0.09561943953393531,-0.0111344417956597,0.0011498658489842851,5
keyword,GOLD,D,KW_LSTM_w30_BASE_D,LSTM,0.0003556480297097764,0.03071671652992514,-0.03864667372297059,0.0034495975469528554,20
keyword,GOLD,D,KW_GRU_w30_BASE_D,GRU,0.0,,0.0,0.0,0
keyword,GOLD,D,KW_LR_BASE_D,LR,0.0,,0.0,0.0,0
keyword,GOLD,D,KW_RF_BASE_D,RF,0.0,,0.0,0.0,0
keyword,GOLD,D,KW_RF_EXT_D,RF,0.0,,0.0,0.0,0
