asset,dataset,model,final_equity,obs,__source,auc,acc,f1,folds
Gold,eng_base,XGB,1.069369722562031,387.0,backtest_summary.csv,,,,
Gold,eng_base,LR,1.0,387.0,backtest_summary.csv,,,,
Gold,eng_base,RF,1.0,387.0,backtest_summary.csv,,,,
Gold,eng_base_gru,W30,0.9175816940805236,383.0,backtest_summary.csv,,,,
Gold,eng_base_lstm,W30,0.9047245611559572,383.0,backtest_summary.csv,,,,
Gold,eng_base_mlp,W30,1.3107425849784595,383.0,backtest_summary.csv,,,,
Gold,eng_ext,LR,1.046603701749423,387.0,backtest_summary.csv,,,,
Gold,eng_ext,RF,1.005809522978257,387.0,backtest_summary.csv,,,,
Gold,eng_ext,XGB,1.0,387.0,backtest_summary.csv,,,,
Gold,eng_ext_gru,W30,1.2252002788809793,383.0,backtest_summary.csv,,,,
Gold,eng_ext_lstm,W30,1.2948216374111794,383.0,backtest_summary.csv,,,,
Gold,eng_ext_mlp,W30,1.4895495840062505,383.0,backtest_summary.csv,,,,
Gold,raw_base,LR,1.0,387.0,backtest_summary.csv,,,,
Gold,raw_base,RF,1.0,387.0,backtest_summary.csv,,,,
Gold,raw_base,XGB,0.998885384280518,387.0,backtest_summary.csv,,,,
Gold,raw_base_gru,W30,1.0,383.0,backtest_summary.csv,,,,
Gold,raw_base_lstm,W30,1.6653229352556989,383.0,backtest_summary.csv,,,,
Gold,raw_base_mlp,W30,1.0269360686525288,383.0,backtest_summary.csv,,,,
Gold,raw_ext,XGB,1.121818987161274,387.0,backtest_summary.csv,,,,
Gold,raw_ext,RF,1.0,387.0,backtest_summary.csv,,,,
Gold,raw_ext,LR,0.999503570828671,387.0,backtest_summary.csv,,,,
Gold,raw_ext_gru,W30,1.1678535318659358,383.0,backtest_summary.csv,,,,
Gold,raw_ext_lstm,W30,1.518381323355737,383.0,backtest_summary.csv,,,,
Gold,raw_ext_mlp,W30,1.1219657031574597,383.0,backtest_summary.csv,,,,
Gold,raw_base,LR,,,rolling_ml_metrics.csv,0.4322341347195149,0.4418604651162791,0.0,1.0
Gold,raw_base,RF,,,rolling_ml_metrics.csv,0.5175167857916396,0.4418604651162791,0.0,1.0
Gold,raw_base,XGB,,,rolling_ml_metrics.csv,0.5047108512020793,0.4366925064599483,0.018018018018018,1.0
Gold,raw_ext,LR,,,rolling_ml_metrics.csv,0.5579922027290449,0.4444444444444444,0.0444444444444444,1.0
Gold,raw_ext,RF,,,rolling_ml_metrics.csv,0.4813867229802902,0.4418604651162791,0.0,1.0
Gold,raw_ext,XGB,,,rolling_ml_metrics.csv,0.4831465237166992,0.4625322997416021,0.3112582781456953,1.0
Gold,eng_base,LR,,,rolling_ml_metrics.csv,0.4400043318171973,0.4418604651162791,0.0,1.0
Gold,eng_base,RF,,,rolling_ml_metrics.csv,0.5174897119341564,0.4418604651162791,0.0,1.0
Gold,eng_base,XGB,,,rolling_ml_metrics.csv,0.5195473251028806,0.4444444444444444,0.0851063829787234,1.0
Gold,eng_ext,LR,,,rolling_ml_metrics.csv,0.4445256660168941,0.4496124031007752,0.1161825726141078,1.0
Gold,eng_ext,RF,,,rolling_ml_metrics.csv,0.4791937405241499,0.4444444444444444,0.0092165898617511,1.0
Gold,eng_ext,XGB,,,rolling_ml_metrics.csv,0.484459605804635,0.4418604651162791,0.0,1.0
Gold,raw_base,MLP,,,rolling_dl_metrics.csv,0.5499640546369517,0.4490861618798956,0.0538116591928251,1.0
Gold,raw_base,LSTM,,,rolling_dl_metrics.csv,0.5176408781728695,0.5613577023498695,0.6806083650190115,1.0
Gold,raw_base,GRU,,,rolling_dl_metrics.csv,0.5003594536304816,0.4412532637075718,0.0,1.0
Gold,raw_ext,MLP,,,rolling_dl_metrics.csv,0.5073273240059725,0.4830287206266319,0.3926380368098159,1.0
Gold,raw_ext,LSTM,,,rolling_dl_metrics.csv,0.5222861250898634,0.5326370757180157,0.6383838383838384,1.0
Gold,raw_ext,GRU,,,rolling_dl_metrics.csv,0.4881103799148372,0.4856396866840731,0.4119402985074626,1.0
Gold,eng_base,MLP,,,rolling_dl_metrics.csv,0.5074932256815794,0.5117493472584856,0.5720823798627003,1.0
Gold,eng_base,LSTM,,,rolling_dl_metrics.csv,0.455759553171487,0.4203655352480417,0.119047619047619,1.0
Gold,eng_base,GRU,,,rolling_dl_metrics.csv,0.4469114638057844,0.4073107049608355,0.0883534136546184,1.0
Gold,eng_ext,MLP,,,rolling_dl_metrics.csv,0.4820549687551844,0.4986945169712793,0.5879828326180258,1.0
Gold,eng_ext,LSTM,,,rolling_dl_metrics.csv,0.5095946469059338,0.5091383812010444,0.517948717948718,1.0
Gold,eng_ext,GRU,,,rolling_dl_metrics.csv,0.4809766078637394,0.4830287206266319,0.5352112676056338,1.0
