asset,dataset,model,final_equity,obs,__source,auc,acc,f1,folds
Oil,eng_base,XGB,1.087703108679494,387.0,backtest_summary.csv,,,,
Oil,eng_base,RF,1.0684402440641545,387.0,backtest_summary.csv,,,,
Oil,eng_base,LR,0.9782833038977348,387.0,backtest_summary.csv,,,,
Oil,eng_base_gru,W30,0.7445739171573338,383.0,backtest_summary.csv,,,,
Oil,eng_base_lstm,W30,1.194331789695996,383.0,backtest_summary.csv,,,,
Oil,eng_base_mlp,W30,1.111969572120216,383.0,backtest_summary.csv,,,,
Oil,eng_ext,RF,0.742808968779906,387.0,backtest_summary.csv,,,,
Oil,eng_ext,XGB,0.7370141062287526,387.0,backtest_summary.csv,,,,
Oil,eng_ext,LR,0.7049179537233611,387.0,backtest_summary.csv,,,,
Oil,eng_ext_gru,W30,1.0313242632228676,383.0,backtest_summary.csv,,,,
Oil,eng_ext_lstm,W30,0.9828569639469422,383.0,backtest_summary.csv,,,,
Oil,eng_ext_mlp,W30,0.6745761876490578,383.0,backtest_summary.csv,,,,
Oil,raw_base,RF,1.0526428617750274,387.0,backtest_summary.csv,,,,
Oil,raw_base,LR,0.9139698396385072,387.0,backtest_summary.csv,,,,
Oil,raw_base,XGB,0.6616730363262807,387.0,backtest_summary.csv,,,,
Oil,raw_base_gru,W30,0.6582480022443342,383.0,backtest_summary.csv,,,,
Oil,raw_base_lstm,W30,1.0259405990594677,383.0,backtest_summary.csv,,,,
Oil,raw_base_mlp,W30,0.9810140213820688,383.0,backtest_summary.csv,,,,
Oil,raw_ext,XGB,0.7350996338793833,387.0,backtest_summary.csv,,,,
Oil,raw_ext,LR,0.7198467372318776,387.0,backtest_summary.csv,,,,
Oil,raw_ext,RF,0.6706987794425252,387.0,backtest_summary.csv,,,,
Oil,raw_ext_gru,W30,0.9968302156820976,383.0,backtest_summary.csv,,,,
Oil,raw_ext_lstm,W30,0.8111435892613055,383.0,backtest_summary.csv,,,,
Oil,raw_ext_mlp,W30,0.6510871154153899,383.0,backtest_summary.csv,,,,
Oil,raw_base,LR,,,rolling_ml_metrics.csv,0.5568578018559245,0.5297157622739018,0.2288135593220339,1.0
Oil,raw_base,RF,,,rolling_ml_metrics.csv,0.5033256450142145,0.5116279069767442,0.4489795918367347,1.0
Oil,raw_base,XGB,,,rolling_ml_metrics.csv,0.512605267392587,0.4754521963824289,0.4671916010498688,1.0
Oil,raw_ext,LR,,,rolling_ml_metrics.csv,0.5082872928176796,0.4961240310077519,0.3434343434343434,1.0
Oil,raw_ext,RF,,,rolling_ml_metrics.csv,0.4722818215952368,0.4935400516795866,0.3717948717948718,1.0
Oil,raw_ext,XGB,,,rolling_ml_metrics.csv,0.5063830928498632,0.524547803617571,0.4213836477987421,1.0
Oil,eng_base,LR,,,rolling_ml_metrics.csv,0.5221530869495252,0.5219638242894057,0.3973941368078176,1.0
Oil,eng_base,RF,,,rolling_ml_metrics.csv,0.4902510325591375,0.4909560723514212,0.3706070287539936,1.0
Oil,eng_base,XGB,,,rolling_ml_metrics.csv,0.5353215684171002,0.5116279069767442,0.4676056338028169,1.0
Oil,eng_ext,LR,,,rolling_ml_metrics.csv,0.5174596363246259,0.4987080103359173,0.3660130718954248,1.0
Oil,eng_ext,RF,,,rolling_ml_metrics.csv,0.463230166818645,0.4857881136950904,0.3722397476340694,1.0
Oil,eng_ext,XGB,,,rolling_ml_metrics.csv,0.5164136673282197,0.5090439276485789,0.4508670520231214,1.0
Oil,raw_base,MLP,,,rolling_dl_metrics.csv,0.5321776755394896,0.5378590078328982,0.5607940446650124,1.0
Oil,raw_base,LSTM,,,rolling_dl_metrics.csv,0.5075035600832511,0.5169712793733682,0.5916114790286976,1.0
Oil,raw_base,GRU,,,rolling_dl_metrics.csv,0.4839522401139227,0.4725848563968668,0.5049019607843137,1.0
Oil,raw_ext,MLP,,,rolling_dl_metrics.csv,0.4996439916748822,0.5091383812010444,0.4125,1.0
Oil,raw_ext,LSTM,,,rolling_dl_metrics.csv,0.5114196516595465,0.5091383812010444,0.5129533678756477,1.0
Oil,raw_ext,GRU,,,rolling_dl_metrics.csv,0.5301237813561179,0.5456919060052219,0.42,1.0
Oil,eng_base,MLP,,,rolling_dl_metrics.csv,0.5806769635228393,0.5378590078328982,0.556390977443609,1.0
Oil,eng_base,LSTM,,,rolling_dl_metrics.csv,0.5650125972176581,0.5430809399477807,0.5995423340961098,1.0
Oil,eng_base,GRU,,,rolling_dl_metrics.csv,0.5065176908752328,0.4856396866840731,0.4746666666666667,1.0
Oil,eng_ext,MLP,,,rolling_dl_metrics.csv,0.5053948953883229,0.5039164490861618,0.3949044585987261,1.0
Oil,eng_ext,LSTM,,,rolling_dl_metrics.csv,0.5478968123562273,0.5274151436031331,0.4872521246458923,1.0
Oil,eng_ext,GRU,,,rolling_dl_metrics.csv,0.5162942271880819,0.5326370757180157,0.4656716417910447,1.0
