asset,freq,strategy,Return_Ann
OIL,W,LR,-0.2777259364132837
OIL,W,RF,-0.2777259364132837
OIL,W,XGB,-0.3016172445541251
OIL,W,W30,-0.20943014000708748
OIL,W,W30,-0.20943014000708748
OIL,W,W30,-0.20943014000708748
OIL,W,LR,-0.04806659179303363
OIL,W,XGB,-0.271520865907255
OIL,W,RF,-0.2777259364132837
OIL,W,W30,-0.20943014000708748
OIL,W,W30,-0.20943014000708748
OIL,W,W30,-0.13037162787612744
OIL,W,XGB,-0.09543970894034082
OIL,W,RF,-0.17607789328246082
OIL,W,LR,-0.2777259364132837
OIL,W,W30,-0.20943014000708748
OIL,W,W30,-0.20943014000708748
OIL,W,W30,-0.20943014000708748
OIL,W,LR,-0.10880355266399888
OIL,W,RF,-0.2777259364132837
OIL,W,XGB,-0.2778625649926396
OIL,W,W30,-0.1550173077631889
OIL,W,W30,-0.20943014000708748
OIL,W,W30,-0.10731618352145833
