type,asset,freq,strategy,model,window,source,Return_Ann,Sharpe,MaxDD,Trades,WinRate
keyword,OIL,D,SMA,GRU,10,,0.15188033598801262,0.5345653984348888,-0.47953852827793,211,0.5442936951316839
keyword,OIL,D,SMA,GRU,20,,0.09940708364032173,0.4115735771636725,-0.48334765423477355,141,0.5451612903225806
keyword,OIL,D,SMA,GRU,50,,0.08900947429955365,0.3884606730954004,-0.46573735072159206,106,0.545816733067729
keyword,OIL,D,EMA,GRU,10,,0.10929643241120796,0.39759642477519885,-0.39526805731647485,230,0.5411392405063291
keyword,OIL,D,EMA,GRU,20,,0.07822509439234897,0.31089937417541674,-0.5546882205405319,162,0.5399841646872525
keyword,OIL,D,EMA,GRU,50,,0.050349658295714764,0.21571323559501546,-0.49859193878900954,122,0.5409197194076384
keyword,OIL,D,SMA,LR,10,,0.13841782518598128,0.4901171357741371,-0.5147255048195651,211,0.5419354838709678
keyword,OIL,D,SMA,LR,20,,0.08330797270082124,0.3457139315064515,-0.5392474646518618,143,0.5443349753694581
keyword,OIL,D,SMA,LR,50,,0.0811307075420027,0.3564986883617202,-0.47671777467333387,114,0.5462662337662337
keyword,OIL,D,EMA,LR,10,,0.10355031745570098,0.37976623012694516,-0.39526805731647485,228,0.5394524959742351
keyword,OIL,D,EMA,LR,20,,0.07033290762973021,0.28154673617673437,-0.5546882205405319,162,0.5403877221324718
keyword,OIL,D,EMA,LR,50,,0.029415087691490847,0.12652051589034063,-0.49859193878900954,130,0.5390127388535032
keyword,OIL,D,SMA,LSTM,10,,0.1620572869287994,0.5649339787571007,-0.47254958859580554,212,0.5430566330488751
keyword,OIL,D,SMA,LSTM,20,,0.11122513556901734,0.454988381163353,-0.46941448583555545,139,0.5448113207547169
keyword,OIL,D,SMA,LSTM,50,,0.0904701538755093,0.39166945853635293,-0.46573735072159206,104,0.5450980392156862
keyword,OIL,D,EMA,LSTM,10,,0.11591324858035651,0.4172501171486911,-0.39526805731647485,232,0.5388760585065435
keyword,OIL,D,EMA,LSTM,20,,0.08159261788604934,0.3212589071256017,-0.5546882205405319,164,0.5386996904024768
keyword,OIL,D,EMA,LSTM,50,,0.04976315366519837,0.21179935515604473,-0.49859193878900954,123,0.5389360061680802
keyword,OIL,D,SMA,MLP,10,,0.15881221322811026,0.5555377204254587,-0.48518648095888317,216,0.5479777954004759
keyword,OIL,D,SMA,MLP,20,,0.09760782605183516,0.4001297867451315,-0.47485905604226497,150,0.5484652665589661
keyword,OIL,D,SMA,MLP,50,,0.08369935686302594,0.3626452227266514,-0.4840491124872135,115,0.5492393915132106
keyword,OIL,D,EMA,MLP,10,,0.11654179868086954,0.42152309667570853,-0.39526805731647485,233,0.5445935280189423
keyword,OIL,D,EMA,MLP,20,,0.07142997569290183,0.28170174374532037,-0.5546882205405319,173,0.5431512272367379
keyword,OIL,D,EMA,MLP,50,,0.042139720159992136,0.17946085608951431,-0.49859193878900954,132,0.5435978004713276
keyword,OIL,D,SMA,RF,10,,0.1437926573598386,0.5069292519015987,-0.5136609070118878,221,0.5409309791332263
keyword,OIL,D,SMA,RF,20,,0.09555692097438175,0.39522576589107883,-0.501566398153656,154,0.5428802588996764
keyword,OIL,D,SMA,RF,50,,0.09623617296078464,0.4219865966316032,-0.46573735072159206,115,0.5456750202101859
keyword,OIL,D,EMA,RF,10,,0.1149481658376552,0.41922717890151695,-0.39526805731647485,241,0.5397456279809221
keyword,OIL,D,EMA,RF,20,,0.08286399685335664,0.33038895734117596,-0.5546882205405319,173,0.5390749601275917
keyword,OIL,D,EMA,RF,50,,0.04406524492334007,0.1889957666257792,-0.49859193878900954,131,0.5382794001578532
keyword,OIL,D,SMA,XGB,10,,0.15547905867907263,0.5466952021736761,-0.479747073670843,226,0.5420928402832416
keyword,OIL,D,SMA,XGB,20,,0.08565955890521419,0.35262915825771335,-0.5301708648947252,156,0.5401750198886237
keyword,OIL,D,SMA,XGB,50,,0.08702625973367605,0.3800567931492982,-0.46573735072159206,114,0.5430622009569378
keyword,OIL,D,EMA,XGB,10,,0.11711143355288882,0.42631929349951464,-0.39526805731647485,244,0.539906103286385
keyword,OIL,D,EMA,XGB,20,,0.07234002536970567,0.28712898738377407,-0.5546882205405319,177,0.5368916797488226
keyword,OIL,D,EMA,XGB,50,,0.03704686343886671,0.15825173089518865,-0.49859193878900954,133,0.5366043613707165
