auc,acc,f1,asset,dataset,model,folds,__source,final_equity,obs
0.6587171052631579,0.4571428571428571,0.6274509803921569,Oil,raw_base,MLP,1.0,rolling_dl_metrics.csv,,
0.6381578947368421,0.4571428571428571,0.6274509803921569,Oil,raw_base,LSTM,1.0,rolling_dl_metrics.csv,,
0.5995065789473685,0.4571428571428571,0.6274509803921569,Oil,raw_base,GRU,1.0,rolling_dl_metrics.csv,,
0.59375,0.5142857142857142,0.6458333333333334,Oil,raw_ext,MLP,1.0,rolling_dl_metrics.csv,,
0.5115131578947368,0.4571428571428571,0.6274509803921569,Oil,raw_ext,LSTM,1.0,rolling_dl_metrics.csv,,
0.4967105263157894,0.5,0.6391752577319587,Oil,raw_ext,GRU,1.0,rolling_dl_metrics.csv,,
0.390625,0.4571428571428571,0.6274509803921569,Oil,eng_base,MLP,1.0,rolling_dl_metrics.csv,,
0.5838815789473685,0.4571428571428571,0.6274509803921569,Oil,eng_base,LSTM,1.0,rolling_dl_metrics.csv,,
0.6866776315789473,0.4571428571428571,0.6274509803921569,Oil,eng_base,GRU,1.0,rolling_dl_metrics.csv,,
0.6167763157894737,0.5285714285714286,0.6451612903225806,Oil,eng_ext,MLP,1.0,rolling_dl_metrics.csv,,
0.569078947368421,0.4571428571428571,0.6274509803921569,Oil,eng_ext,LSTM,1.0,rolling_dl_metrics.csv,,
0.5065789473684211,0.4571428571428571,0.6274509803921569,Oil,eng_ext,GRU,1.0,rolling_dl_metrics.csv,,
0.5632352941176471,0.4594594594594595,0.6296296296296297,Oil,raw_base,LR,1.0,rolling_ml_metrics.csv,,
0.5448529411764707,0.4864864864864865,0.5957446808510638,Oil,raw_base,RF,1.0,rolling_ml_metrics.csv,,
0.5316176470588235,0.5135135135135135,0.5609756097560976,Oil,raw_base,XGB,1.0,rolling_ml_metrics.csv,,
0.5786764705882353,0.5405405405405406,0.5853658536585366,Oil,raw_ext,LR,1.0,rolling_ml_metrics.csv,,
0.5113970588235295,0.4594594594594595,0.6296296296296297,Oil,raw_ext,RF,1.0,rolling_ml_metrics.csv,,
0.5117647058823529,0.4864864864864865,0.62,Oil,raw_ext,XGB,1.0,rolling_ml_metrics.csv,,
0.6286764705882353,0.4594594594594595,0.6296296296296297,Oil,eng_base,LR,1.0,rolling_ml_metrics.csv,,
0.5466911764705882,0.4594594594594595,0.6296296296296297,Oil,eng_base,RF,1.0,rolling_ml_metrics.csv,,
0.4683823529411764,0.4324324324324324,0.4615384615384615,Oil,eng_base,XGB,1.0,rolling_ml_metrics.csv,,
0.5970588235294118,0.5540540540540541,0.4923076923076923,Oil,eng_ext,LR,1.0,rolling_ml_metrics.csv,,
0.5327205882352941,0.4594594594594595,0.6296296296296297,Oil,eng_ext,RF,1.0,rolling_ml_metrics.csv,,
0.5301470588235294,0.4864864864864865,0.5777777777777777,Oil,eng_ext,XGB,1.0,rolling_ml_metrics.csv,,
,,,Oil,eng_base,LR,,backtest_summary.csv,0.7222740635867163,74.0
,,,Oil,eng_base,RF,,backtest_summary.csv,0.7222740635867163,74.0
,,,Oil,eng_base,XGB,,backtest_summary.csv,0.6983827554458749,74.0
,,,Oil,eng_base_gru,W30,,backtest_summary.csv,0.7905698599929125,70.0
,,,Oil,eng_base_lstm,W30,,backtest_summary.csv,0.7905698599929125,70.0
,,,Oil,eng_base_mlp,W30,,backtest_summary.csv,0.7905698599929125,70.0
,,,Oil,eng_ext,LR,,backtest_summary.csv,0.9519334082069664,74.0
,,,Oil,eng_ext,XGB,,backtest_summary.csv,0.728479134092745,74.0
,,,Oil,eng_ext,RF,,backtest_summary.csv,0.7222740635867163,74.0
,,,Oil,eng_ext_gru,W30,,backtest_summary.csv,0.7905698599929125,70.0
,,,Oil,eng_ext_lstm,W30,,backtest_summary.csv,0.7905698599929125,70.0
,,,Oil,eng_ext_mlp,W30,,backtest_summary.csv,0.8696283721238726,70.0
,,,Oil,raw_base,XGB,,backtest_summary.csv,0.9045602910596592,74.0
,,,Oil,raw_base,RF,,backtest_summary.csv,0.8239221067175392,74.0
,,,Oil,raw_base,LR,,backtest_summary.csv,0.7222740635867163,74.0
,,,Oil,raw_base_gru,W30,,backtest_summary.csv,0.7905698599929125,70.0
,,,Oil,raw_base_lstm,W30,,backtest_summary.csv,0.7905698599929125,70.0
,,,Oil,raw_base_mlp,W30,,backtest_summary.csv,0.7905698599929125,70.0
,,,Oil,raw_ext,LR,,backtest_summary.csv,0.8911964473360011,74.0
,,,Oil,raw_ext,RF,,backtest_summary.csv,0.7222740635867163,74.0
,,,Oil,raw_ext,XGB,,backtest_summary.csv,0.7221374350073604,74.0
,,,Oil,raw_ext_gru,W30,,backtest_summary.csv,0.8449826922368111,70.0
,,,Oil,raw_ext_lstm,W30,,backtest_summary.csv,0.7905698599929125,70.0
,,,Oil,raw_ext_mlp,W30,,backtest_summary.csv,0.8926838164785417,70.0
