asset,freq,strategy,Return_Ann
USDCNY,W,LR,0.9856410457824034
USDCNY,W,RF,0.9856410457824034
USDCNY,W,XGB,0.9856410457824034
USDCNY,W,W30,0.9879895322659896
USDCNY,W,W30,0.9879895322659896
USDCNY,W,W30,0.9879895322659896
USDCNY,W,LR,1.002535349533972
USDCNY,W,XGB,0.9926055149224872
USDCNY,W,RF,0.9856410457824034
USDCNY,W,W30,0.9879895322659896
USDCNY,W,W30,0.9879895322659896
USDCNY,W,W30,0.9879895322659896
USDCNY,W,LR,0.9856410457824034
USDCNY,W,RF,0.9856410457824034
USDCNY,W,XGB,0.9855058287865542
USDCNY,W,W30,0.9879895322659896
USDCNY,W,W30,0.9879895322659896
USDCNY,W,W30,0.9879895322659896
USDCNY,W,LR,0.9862523491873918
USDCNY,W,XGB,0.9858200104080472
USDCNY,W,RF,0.9856410457824034
USDCNY,W,W30,0.9879895322659896
USDCNY,W,W30,0.9879895322659896
USDCNY,W,W30,0.9879895322659896
