type,asset,freq,strategy,model,Return_Ann,Sharpe,MaxDD,WinRate,N_Trades
keyword,USDCNY,D,KW_LR_BASE_D,LR,0.007438711764039985,1.1824121718172886,-0.0050204699484422965,0.022230739747029514,81
keyword,USDCNY,D,KW_LR_EXT_D,LR,0.001862696190793267,0.36263864048625843,-0.008642979510953941,0.009198926791874281,42
keyword,USDCNY,D,KW_RF_EXT_D,RF,7.523783590390742e-05,0.31078727662933564,0.0,0.0003832886163280951,1
keyword,USDCNY,D,KW_XGB_EXT_D,XGB,7.523783590390742e-05,0.31078727662933564,0.0,0.0003832886163280951,1
keyword,USDCNY,D,KW_GRU_w30_BASE_D,GRU,0.00012495624472030897,0.14219726346522524,-0.002276186332948349,0.0015331544653123803,9
keyword,USDCNY,D,KW_XGB_BASE_D,XGB,0.000523220069969188,0.08995555643742054,-0.017150944050684624,0.009965504024530471,54
keyword,USDCNY,D,KW_RF_BASE_D,RF,0.0001451944430996832,0.05360410306418706,-0.009071977871364156,0.006132617861249521,31
keyword,USDCNY,D,KW_MLP_w30_EXT_D,MLP,-0.0005972136924480287,-0.14056749003502153,-0.01546972868251617,0.011498658489842852,58
keyword,USDCNY,D,KW_MLP_w30_BASE_D,MLP,-0.000875310145380892,-0.2955720402193753,-0.016829144999084056,0.005749329244921426,33
keyword,USDCNY,D,KW_GRU_w30_EXT_D,GRU,-5.368557112195305e-06,-0.3107872766293361,-5.558021370888344e-05,0.0,1
keyword,USDCNY,D,KW_LSTM_w30_BASE_D,LSTM,-5.368557112195305e-06,-0.3107872766293361,-5.558021370888344e-05,0.0,1
keyword,USDCNY,D,KW_LSTM_w30_EXT_D,LSTM,-5.368557112195305e-06,-0.3107872766293361,-5.558021370888344e-05,0.0,1
