type,asset,freq,strategy,model,window,source,Return_Ann,Sharpe,MaxDD,Trades,WinRate
keyword,USDCNY,W,SMA,GRU,10,,0.03108448086592589,1.0321359865555684,-0.03499883181475494,33,0.5882352941176471
keyword,USDCNY,W,SMA,GRU,20,,0.020156467808957308,0.6877043607381071,-0.04923079163811539,22,0.56
keyword,USDCNY,W,EMA,GRU,10,,0.03078406171864017,1.0081396636829039,-0.04332358396043767,30,0.5854545454545454
keyword,USDCNY,W,EMA,GRU,20,,0.023052399384086902,0.7254112464484951,-0.0494142591694704,21,0.5719424460431655
keyword,USDCNY,W,SMA,LR,10,,0.03108448086592589,1.0321359865555684,-0.03499883181475494,33,0.5882352941176471
keyword,USDCNY,W,SMA,LR,20,,0.020156467808957308,0.6877043607381071,-0.04923079163811539,22,0.56
keyword,USDCNY,W,EMA,LR,10,,0.03078406171864017,1.0081396636829039,-0.04332358396043767,30,0.5854545454545454
keyword,USDCNY,W,EMA,LR,20,,0.023052399384086902,0.7254112464484951,-0.0494142591694704,21,0.5719424460431655
keyword,USDCNY,W,SMA,LSTM,10,,0.03108448086592589,1.0321359865555684,-0.03499883181475494,33,0.5882352941176471
keyword,USDCNY,W,SMA,LSTM,20,,0.020156467808957308,0.6877043607381071,-0.04923079163811539,22,0.56
keyword,USDCNY,W,EMA,LSTM,10,,0.03078406171864017,1.0081396636829039,-0.04332358396043767,30,0.5854545454545454
keyword,USDCNY,W,EMA,LSTM,20,,0.023052399384086902,0.7254112464484951,-0.0494142591694704,21,0.5719424460431655
keyword,USDCNY,W,SMA,MLP,10,,0.03108448086592589,1.0321359865555684,-0.03499883181475494,33,0.5882352941176471
keyword,USDCNY,W,SMA,MLP,20,,0.020156467808957308,0.6877043607381071,-0.04923079163811539,22,0.56
keyword,USDCNY,W,EMA,MLP,10,,0.03078406171864017,1.0081396636829039,-0.04332358396043767,30,0.5854545454545454
keyword,USDCNY,W,EMA,MLP,20,,0.023052399384086902,0.7254112464484951,-0.0494142591694704,21,0.5719424460431655
keyword,USDCNY,W,SMA,RF,10,,0.03108448086592589,1.0321359865555684,-0.03499883181475494,33,0.5882352941176471
keyword,USDCNY,W,SMA,RF,20,,0.020156467808957308,0.6877043607381071,-0.04923079163811539,22,0.56
keyword,USDCNY,W,EMA,RF,10,,0.03078406171864017,1.0081396636829039,-0.04332358396043767,30,0.5854545454545454
keyword,USDCNY,W,EMA,RF,20,,0.023052399384086902,0.7254112464484951,-0.0494142591694704,21,0.5719424460431655
keyword,USDCNY,W,SMA,XGB,10,,0.03108448086592589,1.0321359865555684,-0.03499883181475494,33,0.5882352941176471
keyword,USDCNY,W,SMA,XGB,20,,0.020156467808957308,0.6877043607381071,-0.04923079163811539,22,0.56
keyword,USDCNY,W,EMA,XGB,10,,0.03078406171864017,1.0081396636829039,-0.04332358396043767,30,0.5854545454545454
keyword,USDCNY,W,EMA,XGB,20,,0.023052399384086902,0.7254112464484951,-0.0494142591694704,21,0.5719424460431655
