Date,signal,position,Close,strategy,model,features,window,fold,dataset
2015-09-08,,0,6.355899810791016,R_W30,MLP,RAW_EXT,w30,f0,test
2015-09-09,,0,6.357200145721436,R_W30,MLP,RAW_EXT,w30,f0,test
2015-09-10,,0,6.367800235748291,R_W30,MLP,RAW_EXT,w30,f0,test
2015-09-11,,0,6.367199897766113,R_W30,MLP,RAW_EXT,w30,f0,test
2015-09-14,,0,6.364999771118164,R_W30,MLP,RAW_EXT,w30,f0,test
2015-09-15,,0,6.357900142669678,R_W30,MLP,RAW_EXT,w30,f0,test
2015-09-16,,0,6.360000133514404,R_W30,MLP,RAW_EXT,w30,f0,test
2015-09-17,,0,6.360899925231934,R_W30,MLP,RAW_EXT,w30,f0,test
2015-09-18,,0,6.355999946594238,R_W30,MLP,RAW_EXT,w30,f0,test
2015-09-21,,0,6.354300022125244,R_W30,MLP,RAW_EXT,w30,f0,test
2015-09-22,,0,6.359099864959717,R_W30,MLP,RAW_EXT,w30,f0,test
2015-09-23,,0,6.366000175476074,R_W30,MLP,RAW_EXT,w30,f0,test
2015-09-24,,0,6.373700141906738,R_W30,MLP,RAW_EXT,w30,f0,test
2015-09-25,,0,6.373300075531006,R_W30,MLP,RAW_EXT,w30,f0,test
2015-09-28,,0,6.364099979400635,R_W30,MLP,RAW_EXT,w30,f0,test
2015-09-29,,0,6.358799934387207,R_W30,MLP,RAW_EXT,w30,f0,test
2015-09-30,,0,6.353600025177002,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-01,,0,6.347099781036377,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-02,,0,6.346099853515625,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-05,,0,6.346099853515625,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-06,,0,6.346099853515625,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-07,,0,6.346099853515625,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-08,,0,6.346099853515625,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-09,,0,6.343500137329102,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-12,,0,6.335299968719482,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-13,,0,6.313000202178955,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-14,,0,6.332300186157227,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-15,,0,6.337699890136719,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-16,,0,6.33620023727417,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-19,,0,6.342599868774414,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-20,,0,6.350100040435791,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-21,,0,6.338399887084961,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-22,,0,6.339300155639648,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-23,,0,6.3480000495910645,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-26,,0,6.339099884033203,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-27,,0,6.343200206756592,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-28,,0,6.343200206756592,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-29,,0,6.349299907684326,R_W30,MLP,RAW_EXT,w30,f0,test
2015-10-30,,0,6.346700191497803,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-02,,0,6.30810022354126,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-03,,0,6.327400207519531,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-04,,0,6.326099872589111,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-05,,0,6.325900077819824,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-06,,0,6.33620023727417,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-09,,0,6.343100070953369,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-10,,0,6.352200031280518,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-11,,0,6.351799964904785,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-12,,0,6.357500076293945,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-13,,0,6.359300136566162,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-16,,0,6.363800048828125,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-17,,0,6.361199855804443,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-18,,0,6.368599891662598,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-19,,0,6.374899864196777,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-20,,0,6.373000144958496,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-23,,0,6.375,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-24,,0,6.379300117492676,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-25,,0,6.379799842834473,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-26,,0,6.379199981689453,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-27,,0,6.3796000480651855,R_W30,MLP,RAW_EXT,w30,f0,test
2015-11-30,,0,6.385000228881836,R_W30,MLP,RAW_EXT,w30,f0,test
2015-12-01,,0,6.388199806213379,R_W30,MLP,RAW_EXT,w30,f0,test
2015-12-02,,0,6.388800144195557,R_W30,MLP,RAW_EXT,w30,f0,test
2015-12-03,,0,6.388800144195557,R_W30,MLP,RAW_EXT,w30,f0,test
2015-12-04,,0,6.387499809265137,R_W30,MLP,RAW_EXT,w30,f0,test
2015-12-07,,0,6.39109992980957,R_W30,MLP,RAW_EXT,w30,f0,test
2015-12-08,,0,6.398200035095215,R_W30,MLP,RAW_EXT,w30,f0,test
2015-12-09,,0,6.407199859619141,R_W30,MLP,RAW_EXT,w30,f0,test
2015-12-10,,0,6.418000221252441,R_W30,MLP,RAW_EXT,w30,f0,test
2015-12-11,,0,6.427800178527832,R_W30,MLP,RAW_EXT,w30,f0,test
2015-12-14,,0,6.445300102233887,R_W30,MLP,RAW_EXT,w30,f0,test
2015-12-15,,0,6.448999881744385,R_W30,MLP,RAW_EXT,w30,f0,test
2015-12-16,,0,6.451000213623047,R_W30,MLP,RAW_EXT,w30,f0,test
2015-12-17,,0,6.4633002281188965,R_W30,MLP,RAW_EXT,w30,f0,test
2015-12-18,,0,6.473700046539307,R_W30,MLP,RAW_EXT,w30,f0,test
