Date,signal,position,Close,strategy,model,features,window,fold,dataset
2015-09-11,,0,6.367199897766113,R_W30,LSTM,RAW_EXT,w30,f0,val
2015-09-18,,0,6.355999946594238,R_W30,LSTM,RAW_EXT,w30,f0,val
2015-09-25,,0,6.373300075531006,R_W30,LSTM,RAW_EXT,w30,f0,val
2015-10-02,,0,6.346099853515625,R_W30,LSTM,RAW_EXT,w30,f0,val
2015-10-09,,0,6.343500137329102,R_W30,LSTM,RAW_EXT,w30,f0,val
2015-10-16,,0,6.33620023727417,R_W30,LSTM,RAW_EXT,w30,f0,val
2015-10-23,,0,6.3480000495910645,R_W30,LSTM,RAW_EXT,w30,f0,val
2015-10-30,,0,6.346700191497803,R_W30,LSTM,RAW_EXT,w30,f0,val
2015-11-06,,0,6.33620023727417,R_W30,LSTM,RAW_EXT,w30,f0,val
2015-11-13,,0,6.359300136566162,R_W30,LSTM,RAW_EXT,w30,f0,val
2015-11-20,,0,6.373000144958496,R_W30,LSTM,RAW_EXT,w30,f0,val
2015-11-27,,0,6.3796000480651855,R_W30,LSTM,RAW_EXT,w30,f0,val
2015-12-04,,0,6.387499809265137,R_W30,LSTM,RAW_EXT,w30,f0,val
2015-12-11,,0,6.427800178527832,R_W30,LSTM,RAW_EXT,w30,f0,val
2015-12-18,,0,6.473700046539307,R_W30,LSTM,RAW_EXT,w30,f0,val
2015-12-25,,0,6.467299938201904,R_W30,LSTM,RAW_EXT,w30,f0,val
2016-01-01,,0,6.483699798583984,R_W30,LSTM,RAW_EXT,w30,f0,val
2016-01-08,,0,6.582900047302246,R_W30,LSTM,RAW_EXT,w30,f0,val
2016-01-15,,0,6.5802001953125,R_W30,LSTM,RAW_EXT,w30,f0,val
2016-01-22,,0,6.570000171661377,R_W30,LSTM,RAW_EXT,w30,f0,val
2016-01-29,,0,6.565199851989746,R_W30,LSTM,RAW_EXT,w30,f0,val
2016-02-05,,0,6.554800033569336,R_W30,LSTM,RAW_EXT,w30,f0,val
2016-02-12,,0,6.563899993896484,R_W30,LSTM,RAW_EXT,w30,f0,val
2016-02-19,,0,6.508800029754639,R_W30,LSTM,RAW_EXT,w30,f0,val
2016-02-26,,0,6.523499965667725,R_W30,LSTM,RAW_EXT,w30,f0,val
2016-03-04,,0,6.521500110626221,R_W30,LSTM,RAW_EXT,w30,f0,val
2016-03-11,,0,6.498600006103516,R_W30,LSTM,RAW_EXT,w30,f0,val
