type,asset,freq,strategy,model,window,source,Return_Ann,Sharpe,MaxDD,Trades,WinRate
baseline,BTC,D,SMA,,10,,0.6699564710381111,1.4141306293581166,-0.6161984216181852,214,0.538249483115093
baseline,BTC,D,SMA,,20,,0.6800666020015684,1.4149761381866166,-0.5863775742623651,136,0.5424881033310673
baseline,BTC,D,SMA,,50,,0.6595030884866416,1.302858540915096,-0.5732685978758884,66,0.5488673139158576
baseline,BTC,D,EMA,,10,,0.7005418126185559,1.4822405728687793,-0.5447972179288948,209,0.5426039536468984
baseline,BTC,D,EMA,,20,,0.7827048768233462,1.6149258498188426,-0.5309905770574608,132,0.5504587155963303
baseline,BTC,D,EMA,,50,,0.7173989270446454,1.4015258101383183,-0.5188218782924661,81,0.5497542997542998
baseline,BTC,W,SMA,,10,,0.6731251874261288,1.1917531158094385,-0.5503932155031526,37,0.5811688311688312
baseline,BTC,W,SMA,,20,,0.7107700478189353,1.2133720209009378,-0.6175399678223632,17,0.574468085106383
baseline,BTC,W,EMA,,10,,0.7120576370167703,1.2450891424701602,-0.6076547382725035,37,0.5833333333333334
baseline,BTC,W,EMA,,20,,0.7097410437693306,1.2140339787802892,-0.639463860841465,21,0.5780346820809249
baseline,OIL,D,SMA,,10,,0.13657790029621966,0.4649935321478745,-0.547390275255932,221,0.5363901018922853
baseline,OIL,D,SMA,,20,,0.07859251760158559,0.3123749779961173,-0.5729700858501208,144,0.5355805243445693
baseline,OIL,D,SMA,,50,,0.0656385939692573,0.27552128800509973,-0.5579463377907674,100,0.5370786516853933
baseline,OIL,D,EMA,,10,,0.09655151515114942,0.3396940628909474,-0.45991870841898697,243,0.532703488372093
baseline,OIL,D,EMA,,20,,0.042564948233261804,0.16310398590715647,-0.6094314483627399,176,0.5294550810014728
baseline,OIL,D,EMA,,50,,0.02057741906760408,0.08492344335801165,-0.5454599848231347,124,0.5309734513274337
baseline,OIL,W,SMA,,10,,0.07137675276041716,0.30156389946783,-0.49506875532870476,47,0.5543478260869565
baseline,OIL,W,SMA,,20,,0.047702368352461,0.20710152707999407,-0.42074281295607263,31,0.5547445255474452
baseline,OIL,W,EMA,,10,,0.05283074140437905,0.22082825396194425,-0.4703413127933973,52,0.5543859649122806
baseline,OIL,W,EMA,,20,,0.0178524266689444,0.07510771339003947,-0.47682017257595843,40,0.5441696113074205
baseline,GOLD,D,SMA,,10,,0.05001162164051632,0.4485603765517224,-0.2389388957792299,236,0.5218978102189781
baseline,GOLD,D,SMA,,20,,0.04789585720323185,0.41975116652460054,-0.2556823182411124,162,0.5327169274537695
baseline,GOLD,D,SMA,,50,,0.06393584112208878,0.5415610494244729,-0.24773176255840867,94,0.5355383532723434
baseline,GOLD,D,EMA,,10,,0.04500063609076483,0.39416106312953036,-0.24269837541160544,248,0.5205965909090909
baseline,GOLD,D,EMA,,20,,0.040298008907284785,0.34722451528799875,-0.29206998585866795,182,0.523876404494382
baseline,GOLD,D,EMA,,50,,0.06256900786414918,0.5148318880492389,-0.2741131262684594,112,0.5310077519379846
baseline,GOLD,W,SMA,,10,,0.07938605891809088,0.6801343291590619,-0.17557421100129167,45,0.5637583892617449
baseline,GOLD,W,SMA,,20,,0.09754773710738447,0.7919664567913912,-0.19336349813774034,27,0.5730994152046783
baseline,GOLD,W,EMA,,10,,0.07459940545939643,0.6251914442159119,-0.20944135726445023,51,0.5524691358024691
baseline,GOLD,W,EMA,,20,,0.08894845355796524,0.7026160381253553,-0.2062425878377261,36,0.5543175487465181
baseline,USDCNY,D,SMA,,10,,-0.009269643049127476,-0.27585445558608707,-0.17354830912724428,246,0.4940387481371088
baseline,USDCNY,D,SMA,,20,,0.0018943122606386,0.05484502417571951,-0.16169277669132798,154,0.5093023255813953
baseline,USDCNY,D,SMA,,50,,0.011558391167366488,0.3220063648530725,-0.15038818184595204,81,0.5272867025365103
baseline,USDCNY,D,EMA,,10,,-0.009810264482280999,-0.2928153894453572,-0.17861140086391625,259,0.49142431021625654
baseline,USDCNY,D,EMA,,20,,-0.0027415024164091474,-0.0794342795702023,-0.16810936898689732,174,0.5038402457757296
baseline,USDCNY,D,EMA,,50,,0.004877014667198573,0.13754298831082215,-0.170610984689343,99,0.5215094339622641
baseline,USDCNY,W,SMA,,10,,0.03108448086592589,1.0321359865555684,-0.03499883181475494,33,0.5882352941176471
baseline,USDCNY,W,SMA,,20,,0.020156467808957308,0.6877043607381071,-0.04923079163811539,22,0.56
baseline,USDCNY,W,EMA,,10,,0.03078406171864017,1.0081396636829039,-0.04332358396043767,30,0.5854545454545454
baseline,USDCNY,W,EMA,,20,,0.023052399384086902,0.7254112464484951,-0.0494142591694704,21,0.5719424460431655
