type,asset,freq,strategy,model,Return_Ann,Sharpe,MaxDD,WinRate,N_Trades
keyword,GOLD,D,KW_XGB_EXT_D,XGB,0.0104893032439736,0.5000248317825646,-0.0333645065633511,0.0114986584898428,57
keyword,GOLD,D,KW_MLP_w30_BASE_D,MLP,0.0025705957480273,0.3178799152647913,-0.0145361591430193,0.0022997316979685,9
keyword,GOLD,D,KW_LSTM_w30_EXT_D,LSTM,0.0034752645579991,0.2999601623574606,-0.0195607999833679,0.0022997316979685,11
keyword,GOLD,D,KW_GRU_w30_EXT_D,GRU,0.0024535973091721,0.1920042025018238,-0.0233447219336118,0.0049827520122652,24
keyword,GOLD,D,KW_MLP_w30_EXT_D,MLP,0.0041688927265171,0.1740055208418746,-0.0464187741356347,0.0107320812571866,46
keyword,GOLD,D,KW_XGB_BASE_D,XGB,0.0008772928475069,0.1736228714412638,-0.0084782678771641,0.0007665772326561,5
keyword,GOLD,D,KW_LR_EXT_D,LR,0.0004494976967823,0.0956194395339353,-0.0111344417956597,0.0011498658489842,5
keyword,GOLD,D,KW_LSTM_w30_BASE_D,LSTM,0.0003556480297097,0.0307167165299251,-0.0386466737229705,0.0034495975469528,20
keyword,GOLD,D,KW_GRU_w30_BASE_D,GRU,0.0,,0.0,0.0,0
keyword,GOLD,D,KW_LR_BASE_D,LR,0.0,,0.0,0.0,0
keyword,GOLD,D,KW_RF_BASE_D,RF,0.0,,0.0,0.0,0
keyword,GOLD,D,KW_RF_EXT_D,RF,0.0,,0.0,0.0,0
keyword,BTC,D,KW_XGB_EXT_D,XGB,0.0457654300822569,0.6374483355579431,-0.0753704728862345,0.0168646991184361,78
keyword,BTC,D,KW_MLP_w30_EXT_D,MLP,0.0204690449521187,0.5298407328222772,-0.035667063539995,0.004216174779609,19
keyword,BTC,D,KW_RF_BASE_D,RF,0.0179959463842058,0.2672797226666045,-0.1530399939657216,0.008432349559218,38
keyword,BTC,D,KW_XGB_BASE_D,XGB,0.0023503409823992,0.067931586365514,-0.1407384003530624,0.0061326178612495,31
keyword,BTC,D,KW_LR_EXT_D,LR,0.0003167641107864,0.0377919789474906,-0.179581991469293,0.0049827520122652,29
keyword,BTC,D,KW_RF_EXT_D,RF,-0.0024793395952811,-0.2804754383087582,-0.0279119802196445,0.000383288616328,2
keyword,BTC,D,KW_GRU_w30_BASE_D,GRU,-0.0035018289118947,-0.310787276629335,-0.035667063539995,0.0,1
keyword,BTC,D,KW_GRU_w30_EXT_D,GRU,-0.0035018289118947,-0.310787276629335,-0.035667063539995,0.0,1
keyword,BTC,D,KW_LSTM_w30_BASE_D,LSTM,-0.0035018289118947,-0.310787276629335,-0.035667063539995,0.0,1
keyword,BTC,D,KW_MLP_w30_BASE_D,MLP,-0.0035018289118947,-0.310787276629335,-0.035667063539995,0.0,1
keyword,BTC,D,KW_LSTM_w30_EXT_D,LSTM,-0.0035018289118947,-0.310787276629335,-0.035667063539995,0.0,1
keyword,BTC,D,KW_LR_BASE_D,LR,-0.0027305881294406,-0.3107872766293367,-0.0279119802196445,0.0,1
keyword,OIL,D,KW_RF_BASE_D,RF,0.0423889079310655,0.9329078083264084,-0.0593044353474151,0.0157148332694518,69
keyword,OIL,D,KW_LSTM_w30_BASE_D,LSTM,0.0005480146019671,0.0342887137540914,-0.0635966174372026,0.0034495975469528,14
