asset,freq,strategy,type,cagr,sharpe,trades
GOLD,D,sma,baseline,0.04224180964529922,0.4197511665246005,323
GOLD,D,ema,baseline,0.03515963614818429,0.3559293769451715,363
GOLD,W,sma,baseline,0.5460541482422605,1.7434334984782793,53
GOLD,W,ema,baseline,0.5149331633582725,1.6407930147967171,71
BTC,D,sma,baseline,0.7615847399227986,1.4149761381866166,272
BTC,D,ema,baseline,0.9440492227418031,1.6103298029059456,266
BTC,W,sma,baseline,12.89611100559976,2.6711149307074753,33
BTC,W,ema,baseline,12.667604597464429,2.664796626096812,43
OIL,D,sma,baseline,0.04812551406095489,0.31237497799611735,288
OIL,D,ema,baseline,0.008653542193767016,0.16532978364794107,352
OIL,W,sma,baseline,0.10952717436443304,0.4559129200498142,62
OIL,W,ema,baseline,-0.04808675022926734,0.16534198184203175,80
USDCNY,D,sma,baseline,0.0012973420301136684,0.05484502417571953,308
USDCNY,D,ema,baseline,-0.003376807333783427,-0.08071706847178017,346
USDCNY,W,sma,baseline,0.10030626711654245,1.5139111123695255,44
USDCNY,W,ema,baseline,0.11544216928952933,1.596918981082958,42
