asset,freq,dataset,task,model,auc,accuracy,f1,mae,rmse,spearman
BTC,D,base,CLS,GRU,0.9997942386831276,0.9923371647509579,0.9926470588235294,,,
BTC,D,base,CLS,LR,0.9995002939447384,0.9904214559386973,0.9907578558225508,,,
BTC,D,base,CLS,LSTM,0.9995443856554967,0.9923371647509579,0.9926470588235294,,,
BTC,D,base,CLS,MLP,0.9986331569664904,0.9712643678160919,0.9725776965265084,,,
BTC,D,base,CLS,RF,1.0,1.0,1.0,,,
BTC,D,base,CLS,XGB,1.0,1.0,1.0,,,
BTC,D,base,REG,GRU,,,,0.0112440588527789,0.0139611043632161,0.8972337027795598
BTC,D,base,REG,LR,,,,4.012045872886439e-17,8.665193465724549e-17,1.0
BTC,D,base,REG,LSTM,,,,0.0119040197694725,0.015385320800792548,0.8659628285995361
BTC,D,base,REG,MLP,,,,0.0271399542288939,0.033324256345622284,0.7142941027513644
BTC,D,base,REG,RF,,,,8.641683714245935e-05,0.00030802592571402146,0.9999951910951232
BTC,D,base,REG,XGB,,,,0.0011150797731546,0.001803101560130627,0.9989021354532673
BTC,D,ext,CLS,GRU,0.990623162845385,0.9291187739463601,0.9340463458110516,,,
BTC,D,ext,CLS,LR,0.99564961787184,0.9578544061302682,0.95985401459854,,,
BTC,D,ext,CLS,LSTM,0.979967666078777,0.9022988505747126,0.9077757685352622,,,
BTC,D,ext,CLS,MLP,0.9834950029394474,0.921455938697318,0.9271758436944938,,,
BTC,D,ext,CLS,RF,1.0,1.0,1.0,,,
BTC,D,ext,CLS,XGB,1.0,1.0,1.0,,,
BTC,D,ext,REG,GRU,,,,0.0481689717601725,0.061624376369519965,0.44214197734828636
BTC,D,ext,REG,LR,,,,3.43486009780776e-17,8.54079905203255e-17,1.0
BTC,D,ext,REG,LSTM,,,,0.0869236357004992,0.1056452540017548,0.10984605978371487
BTC,D,ext,REG,MLP,,,,0.0774343395762494,0.09907378732446216,0.352965560943357
BTC,D,ext,REG,RF,,,,0.0001115362002133,0.0005578589668956383,0.999995866029141
BTC,D,ext,REG,XGB,,,,0.0008564701041194,0.0014542876309939243,0.9993318153223606
CL=F,D,base,CLS,GRU,0.9978612622977416,0.9674329501915708,0.9648033126293996,,,
CL=F,D,base,CLS,LR,0.9965485198460108,0.9578544061302682,0.9554655870445344,,,
CL=F,D,base,CLS,LSTM,0.9983332595837574,0.9789272030651341,0.977687626774848,,,
CL=F,D,base,CLS,MLP,0.9965632697611988,0.9559386973180076,0.9515789473684212,,,
CL=F,D,base,CLS,RF,1.0,1.0,1.0,,,
CL=F,D,base,CLS,XGB,1.0,1.0,1.0,,,
CL=F,D,base,REG,GRU,,,,0.0071541631944462,0.009132397451527673,0.8936978006986259
CL=F,D,base,REG,LR,,,,2.6100453764672236e-17,4.5762270217155486e-17,0.9999626459227878
CL=F,D,base,REG,LSTM,,,,0.0066438699950645,0.008562165341911277,0.8948306165471803
CL=F,D,base,REG,MLP,,,,0.0296214387555616,0.036771673853980905,0.17950215905615707
CL=F,D,base,REG,RF,,,,0.0001288256896176,0.001997437996647524,0.9999750051867948
CL=F,D,base,REG,XGB,,,,0.0005351456301172,0.0008277880974005093,0.9990780274815801
CL=F,D,ext,CLS,GRU,0.989188312167205,0.9310344827586207,0.9227467811158798,,,
CL=F,D,ext,CLS,LR,0.988141068188858,0.9348659003831418,0.9308943089430894,,,
CL=F,D,ext,CLS,LSTM,0.9750283935867368,0.8984674329501916,0.8830022075055187,,,
CL=F,D,ext,CLS,MLP,0.9546292608817498,0.8773946360153256,0.8699186991869918,,,
CL=F,D,ext,CLS,RF,1.0,1.0,1.0,,,
CL=F,D,ext,CLS,XGB,1.0,1.0,1.0,,,
CL=F,D,ext,REG,GRU,,,,0.0524944195716459,0.067773077165421,0.4001228766069514
CL=F,D,ext,REG,LR,,,,8.966647941186117e-17,1.0826985518085133e-16,0.9999626459227878
CL=F,D,ext,REG,LSTM,,,,0.0626102265667039,0.08140898062806808,0.24731809713090866
CL=F,D,ext,REG,MLP,,,,0.0855525152795464,0.10540054667384614,0.3053743778452789
CL=F,D,ext,REG,RF,,,,0.0001329751732147,0.002010148260433777,0.9999654717786371
CL=F,D,ext,REG,XGB,,,,0.0002582167735425,0.00046142893041181205,0.9997836551719036
GC=F,D,base,CLS,GRU,0.998207301173403,0.9712643678160919,0.9744463373083476,,,
GC=F,D,base,CLS,LR,0.9990369799691834,0.9827586206896551,0.984070796460177,,,
GC=F,D,base,CLS,LSTM,0.995599739243807,0.9540229885057471,0.958041958041958,,,
GC=F,D,base,CLS,MLP,0.9971702026786772,0.9616858237547893,0.9657534246575342,,,
GC=F,D,base,CLS,RF,1.0,1.0,1.0,,,
GC=F,D,base,CLS,XGB,0.9993777409031648,0.9980842911877394,0.9982486865148862,,,
GC=F,D,base,REG,GRU,,,,0.0133845479780039,0.01948147450213501,0.35658148847046195
GC=F,D,base,REG,LR,,,,1.6625666539490208e-17,7.751496803510608e-17,0.9999759551865387
GC=F,D,base,REG,LSTM,,,,0.0143391797540327,0.019361680015691763,0.5373829421630749
GC=F,D,base,REG,MLP,,,,0.0286423034915963,0.03834911712875076,0.10245209005734965
GC=F,D,base,REG,RF,,,,4.339075018433547e-05,0.00017845315568934628,0.9999924066271413
GC=F,D,base,REG,XGB,,,,0.0005427715893417,0.0010722927826929676,0.9978370378542063
GC=F,D,ext,CLS,GRU,0.9949330330686262,0.9616858237547893,0.9655172413793104,,,
GC=F,D,ext,CLS,LR,0.9973035439137132,0.9655172413793104,0.9691780821917808,,,
GC=F,D,ext,CLS,LSTM,0.987377029749911,0.9425287356321839,0.9466192170818504,,,
